Date,GoldsteinScale,AvgTone,Diff
2020-03-02,-1.6740000000000004,-2.2988686965526868,1.0
2020-03-03,-3.372413793103448,-3.7888638048300614,-1.0
2020-03-04,-3.457692307692308,-3.3503384246603645,1.0
2020-03-05,0.08139534883720931,-2.504286144391128,-1.0
2020-03-06,-1.303921568627451,-2.1694500817621525,1.0
2020-03-09,-2.173948717948718,-2.6098124682046318,-1.0
2020-03-10,-0.3674418604651164,-3.6286940613883347,1.0
2020-03-11,-0.8523809523809522,-2.5841911916412887,1.0
2020-03-12,-1.0113207547169811,-3.7422681554819333,-1.0
2020-03-13,-1.025806451612903,-3.163853569444571,1.0
2020-03-16,0.045973266499582305,-3.5860846646848734,-1.0
2020-03-17,-0.5919642857142856,-3.924331623143978,1.0
2020-03-18,-0.575,-4.101444763480065,-1.0
2020-03-19,-0.09749999999999996,-4.256634318827112,1.0
2020-03-20,0.10108695652173898,-4.4572440535299735,1.0
2020-03-23,-0.023261417680599084,-4.425156417445863,-1.0
2020-03-24,-0.16060606060606075,-3.5219232333509782,-1.0
2020-03-25,-0.2698412698412699,-3.7768314615847243,-1.0
2020-03-26,-1.7985507246376806,-3.9674586096149573,1.0
2020-03-27,0.7161904761904765,-3.605154656119374,-1.0
2020-03-30,-1.1761781861841423,-2.694082501705775,1.0
2020-03-31,-0.5150943396226417,-2.7805079211386334,1.0
2020-04-01,-1.2606557377049177,-3.3396163785134085,-1.0
2020-04-02,1.0085714285714291,-4.058095397624352,1.0
2020-04-03,-1.460493827160493,-3.587940939692234,-1.0
2020-04-06,0.7417557932263815,-2.9879819205879365,1.0
2020-04-07,-0.6792452830188674,-3.1200591283560617,-1.0
2020-04-08,1.5750000000000004,-3.4468558896601813,-1.0
2020-04-09,0.7096153846153845,-3.5749158250227433,1.0
2020-04-13,1.4548547896069448,-3.1222383937227525,-1.0
2020-04-14,0.47014925373134336,-3.266990126390662,1.0
2020-04-15,-1.7183098591549288,-3.709003365707029,1.0
2020-04-16,0.22413793103448276,-3.862709483760396,-1.0
2020-04-17,1.183582089552239,-2.4664172954594807,1.0
2020-04-20,0.2942227157834911,-3.4652647675729296,1.0
2020-04-21,-2.5390476190476203,-3.962936235174204,-1.0
2020-04-22,-1.1886363636363628,-4.665032964042094,1.0
2020-04-23,-0.008730158730158206,-3.4609572643788016,-1.0
2020-04-24,0.7252525252525255,-3.1266110779741405,-1.0
2020-04-27,1.120046064163711,-3.654182824644602,1.0
2020-04-28,-0.27402597402597423,-3.996464383411137,-1.0
